# XPP optical metrology
# CSPAD v1.6
# 2013-10-09

# quad 0
1	-5333	90842	95
2	-5386	111744	201
3	38165	111860	276
4	38217	90956	170
5	-5347	113556	109
6	-5463	134472	102
7	38082	134714	116
8	38192	113806	101
9	-5583	137475	93
10	-5632	181020	103
11	15278	181044	102
12	15320	137501	128
13	17429	137411	128
14	17239	180959	108
15	38148	181052	109
16	38330	137513	149
17	41148	135323	119
18	41076	156227	129
19	84612	156380	157
20	84690	135475	145
21	41070	158009	117
22	40908	178912	125
23	84448	179250	141
24	84606	158354	145
25	41356	90824	155
26	40981	134365	153
27	61894	134543	157
28	62253	91001	150
29	63901	91047	146
30	63528	134586	147
31	84437	134768	135
32	84807	91227	115

# quad 1
1	85270	96307	148
2	85328	117212	167
3	128865	117088	157
4	128808	96189	137
5	85331	119040	160
6	85328	139938	162
7	128866	139949	180
8	128869	119049	161
9	85401	142874	150
10	85457	186417	115
11	106360	186391	147
12	106300	142849	161
13	108464	142863	161
14	108373	186412	135
15	129285	186459	138
16	129365	142907	174
17	132123	142609	168
18	132138	163517	150
19	175685	163493	151
20	175674	142587	166
21	132053	165404	157
22	132071	186309	109
23	175619	186279	111
24	175609	165374	186
25	129836	96165	144
26	129835	139705	152
27	150739	139706	160
28	150738	96168	156
29	152627	96241	144
30	152767	139783	152
31	173664	139721	165
32	173538	96176	164

# quad 2
1	90978	7192	92
2	90881	28101	84
3	134423	28306	109
4	134524	7396	105
5	90879	30116	81
6	90866	51028	109
7	134399	51055	107
8	134417	30145	106
9	90905	51889	109
10	90750	95431	142
11	111658	95509	149
12	111818	51967	122
13	113456	51954	116
14	113451	95499	148
15	134357	95497	125
16	134356	51955	143
17	137241	51770	157
18	137264	72679	125
19	180804	72641	146
20	180785	51725	141
21	137238	74459	142
22	137266	95372	143
23	180812	95309	105
24	180780	74400	155
25	137553	5067	82
26	137531	48617	160
27	158442	48626	120
28	158468	5079	62
29	159917	5090	75
30	159975	48650	120
31	180894	48619	125
32	180832	5065	64

# quad 3
1	0	0	0
2	-39	20905	33
3	43504	20987	52
4	43528	67	27
5	-61	22564	45
6	-162	43467	72
7	43381	43679	117
8	43475	22766	54
9	1983	46342	69
10	1820	89894	112
11	22736	89967	126
12	22891	46421	81
13	24825	46459	90
14	24755	90008	105
15	45671	90042	93
16	45740	46491	71
17	46730	46457	98
18	46632	67363	122
19	90165	67574	151
20	90268	46669	107
21	46591	69108	121
22	46455	90010	94
23	89994	90296	131
24	90128	69391	135
25	46536	156	45
26	46399	43706	118
27	67303	43775	81
28	67440	225	33
29	69087	207	39
30	68999	43750	107
31	89904	43797	99
32	89999	256	26
